

=== Predictions on test data ===

 inst#     actual  predicted error prediction
  4155        1:? 2:atempora       0.73 
  4156        1:? 1:temporal       0.544 
  4157        1:? 2:atempora       1 
  4158        1:? 2:atempora       0.969 
  4159        1:? 2:atempora       0.992 
  4160        1:? 2:atempora       0.998 
  4161        1:? 2:atempora       0.978 
  4162        1:? 2:atempora       0.997 
  4163        1:? 1:temporal       0.938 
  4164        1:? 1:temporal       0.796 
  4165        1:? 2:atempora       0.996 
  4166        1:? 2:atempora       0.996 
  4167        1:? 2:atempora       0.959 
  4168        1:? 2:atempora       0.907 
  4169        1:? 2:atempora       0.867 
  4170        1:? 2:atempora       0.999 
  4171        1:? 2:atempora       0.678 
  4172        1:? 2:atempora       0.89 
  4173        1:? 2:atempora       1 
  4174        1:? 1:temporal       0.84 
  4175        1:? 2:atempora       0.994 
  4176        1:? 1:temporal       0.999 
  4177        1:? 2:atempora       1 
  4178        1:? 1:temporal       0.887 
  4179        1:? 2:atempora       1 
  4180        1:? 2:atempora       0.97 
  4181        1:? 1:temporal       0.912 
  4182        1:? 2:atempora       0.771 
  4183        1:? 2:atempora       0.974 
  4184        1:? 2:atempora       1 
  4185        1:? 2:atempora       0.983 
  4186        1:? 1:temporal       0.572 
  4187        1:? 2:atempora       0.907 
  4188        1:? 1:temporal       0.568 
  4189        1:? 2:atempora       1 
  4190        1:? 2:atempora       0.994 
  4191        1:? 2:atempora       0.996 
  4192        1:? 1:temporal       0.999 
  4193        1:? 2:atempora       1 
  4194        1:? 2:atempora       0.868 
  4195        1:? 2:atempora       1 
  4196        1:? 2:atempora       0.568 
  4197        1:? 1:temporal       0.63 
  4198        1:? 1:temporal       0.575 
  4199        1:? 2:atempora       0.889 
  4200        1:? 1:temporal       0.94 
  4201        1:? 1:temporal       0.77 
  4202        1:? 1:temporal       0.969 
  4203        1:? 2:atempora       0.888 
  4204        1:? 2:atempora       0.867 
  4205        1:? 1:temporal       0.854 
  4206        1:? 2:atempora       0.999 
  4207        1:? 2:atempora       0.977 
  4208        1:? 2:atempora       0.996 
  4209        1:? 2:atempora       0.972 
  4210        1:? 1:temporal       0.839 
  4211        1:? 2:atempora       0.919 
  4212        1:? 2:atempora       1 
  4213        1:? 2:atempora       0.983 
  4214        1:? 2:atempora       0.999 
  4215        1:? 1:temporal       0.918 
  4216        1:? 1:temporal       0.938 
  4217        1:? 2:atempora       0.998 
  4218        1:? 2:atempora       0.907 
  4219        1:? 2:atempora       0.994 
  4220        1:? 1:temporal       0.784 
  4221        1:? 2:atempora       1 
  4222        1:? 2:atempora       1 
  4223        1:? 2:atempora       1 
  4224        1:? 2:atempora       0.999 
  4225        1:? 1:temporal       0.857 
  4226        1:? 1:temporal       0.91 
  4227        1:? 2:atempora       1 
  4228        1:? 2:atempora       1 
  4229        1:? 2:atempora       0.661 
  4230        1:? 2:atempora       0.972 
  4231        1:? 1:temporal       1 
  4232        1:? 2:atempora       1 
  4233        1:? 2:atempora       0.998 
  4234        1:? 1:temporal       0.84 
  4235        1:? 2:atempora       0.996 
  4236        1:? 2:atempora       0.969 
  4237        1:? 2:atempora       0.914 
  4238        1:? 2:atempora       0.999 
  4239        1:? 2:atempora       0.907 
  4240        1:? 2:atempora       1 
  4241        1:? 2:atempora       1 
  4242        1:? 2:atempora       0.903 
  4243        1:? 2:atempora       0.812 
  4244        1:? 2:atempora       0.998 
  4245        1:? 1:temporal       0.63 
  4246        1:? 1:temporal       0.739 
  4247        1:? 2:atempora       0.863 
  4248        1:? 2:atempora       0.99 
  4249        1:? 2:atempora       0.972 
  4250        1:? 2:atempora       0.718 
  4251        1:? 2:atempora       0.756 
  4252        1:? 2:atempora       0.907 
  4253        1:? 1:temporal       0.63 
  4254        1:? 2:atempora       1 
  4255        1:? 1:temporal       0.664 
  4256        1:? 2:atempora       1 
  4257        1:? 2:atempora       1 
  4258        1:? 2:atempora       1 
  4259        1:? 2:atempora       1 
  4260        1:? 2:atempora       0.907 
  4261        1:? 1:temporal       0.854 
  4262        1:? 2:atempora       0.936 
  4263        1:? 2:atempora       0.868 
  4264        1:? 2:atempora       0.733 
  4265        1:? 2:atempora       0.941 
  4266        1:? 2:atempora       0.863 
  4267        1:? 2:atempora       1 
  4268        1:? 2:atempora       0.994 
  4269        1:? 2:atempora       0.981 
  4270        1:? 2:atempora       0.999 
  4271        1:? 2:atempora       1 
  4272        1:? 2:atempora       0.945 
  4273        1:? 2:atempora       0.973 
  4274        1:? 2:atempora       0.73 
  4275        1:? 2:atempora       0.999 
  4276        1:? 1:temporal       0.685 
  4277        1:? 2:atempora       0.999 
  4278        1:? 2:atempora       1 
  4279        1:? 1:temporal       0.52 
  4280        1:? 2:atempora       1 
  4281        1:? 1:temporal       0.854 
  4282        1:? 1:temporal       0.544 
  4283        1:? 2:atempora       0.979 
  4284        1:? 2:atempora       1 
  4285        1:? 2:atempora       0.678 
  4286        1:? 2:atempora       1 
  4287        1:? 2:atempora       0.995 
  4288        1:? 2:atempora       0.796 
  4289        1:? 2:atempora       0.868 
  4290        1:? 2:atempora       0.776 
  4291        1:? 2:atempora       1 
  4292        1:? 2:atempora       0.988 
  4293        1:? 2:atempora       0.972 
  4294        1:? 2:atempora       0.979 
  4295        1:? 2:atempora       0.996 
  4296        1:? 2:atempora       1 
  4297        1:? 2:atempora       0.566 
  4298        1:? 2:atempora       0.73 
  4299        1:? 2:atempora       0.908 
  4300        1:? 2:atempora       1 
  4301        1:? 1:temporal       0.563 
  4302        1:? 2:atempora       0.978 
  4303        1:? 2:atempora       0.798 
  4304        1:? 2:atempora       0.991 
  4305        1:? 2:atempora       0.918 
  4306        1:? 1:temporal       0.63 
  4307        1:? 2:atempora       0.998 
  4308        1:? 1:temporal       0.995 
  4309        1:? 1:temporal       0.812 
  4310        1:? 1:temporal       0.959 
  4311        1:? 1:temporal       0.83 
  4312        1:? 2:atempora       0.678 
  4313        1:? 2:atempora       0.992 
  4314        1:? 2:atempora       0.992 
  4315        1:? 2:atempora       0.996 
  4316        1:? 1:temporal       0.744 
  4317        1:? 2:atempora       0.981 
  4318        1:? 2:atempora       1 
  4319        1:? 2:atempora       0.997 
  4320        1:? 2:atempora       0.867 
  4321        1:? 2:atempora       0.731 
  4322        1:? 1:temporal       0.63 
  4323        1:? 2:atempora       1 
  4324        1:? 1:temporal       0.63 
  4325        1:? 2:atempora       0.978 
  4326        1:? 2:atempora       0.865 
  4327        1:? 2:atempora       0.998 
  4328        1:? 2:atempora       0.949 
  4329        1:? 2:atempora       1 
  4330        1:? 2:atempora       1 
  4331        1:? 2:atempora       1 
  4332        1:? 2:atempora       0.678 
  4333        1:? 1:temporal       0.84 
  4334        1:? 2:atempora       0.954 
  4335        1:? 1:temporal       0.898 
  4336        1:? 2:atempora       0.977 
  4337        1:? 2:atempora       0.881 
  4338        1:? 2:atempora       0.548 
  4339        1:? 2:atempora       1 
  4340        1:? 1:temporal       0.898 
  4341        1:? 2:atempora       0.988 
  4342        1:? 2:atempora       0.678 
  4343        1:? 2:atempora       0.839 
  4344        1:? 2:atempora       0.768 
  4345        1:? 2:atempora       0.58 
  4346        1:? 2:atempora       0.989 
  4347        1:? 1:temporal       0.84 
  4348        1:? 2:atempora       1 
  4349        1:? 1:temporal       0.626 
  4350        1:? 2:atempora       0.972 
  4351        1:? 1:temporal       0.887 
  4352        1:? 2:atempora       0.936 
  4353        1:? 2:atempora       0.867 
  4354        1:? 1:temporal       0.857 
  4355        1:? 2:atempora       0.994 
  4356        1:? 1:temporal       0.63 
  4357        1:? 2:atempora       0.998 
  4358        1:? 1:temporal       0.984 
  4359        1:? 2:atempora       0.974 
  4360        1:? 1:temporal       0.709 
  4361        1:? 2:atempora       0.737 
  4362        1:? 2:atempora       0.867 
  4363        1:? 2:atempora       0.529 
  4364        1:? 1:temporal       0.739 
  4365        1:? 2:atempora       0.959 
  4366        1:? 2:atempora       0.984 
  4367        1:? 2:atempora       0.68 
  4368        1:? 1:temporal       0.8 
  4369        1:? 2:atempora       0.998 
  4370        1:? 2:atempora       0.791 
  4371        1:? 2:atempora       0.867 
  4372        1:? 2:atempora       0.81 
  4373        1:? 1:temporal       0.898 
  4374        1:? 1:temporal       0.999 
  4375        1:? 1:temporal       0.532 
  4376        1:? 2:atempora       1 
  4377        1:? 1:temporal       0.84 
  4378        1:? 2:atempora       0.946 
  4379        1:? 1:temporal       0.84 
  4380        1:? 1:temporal       0.854 
  4381        1:? 1:temporal       0.722 
  4382        1:? 2:atempora       0.998 
  4383        1:? 1:temporal       0.516 
  4384        1:? 2:atempora       0.994 
  4385        1:? 2:atempora       1 
  4386        1:? 2:atempora       0.584 
  4387        1:? 1:temporal       0.63 
  4388        1:? 1:temporal       0.854 
  4389        1:? 2:atempora       0.996 
  4390        1:? 2:atempora       1 
  4391        1:? 2:atempora       1 
  4392        1:? 1:temporal       0.75 
  4393        1:? 1:temporal       0.872 
  4394        1:? 2:atempora       0.664 
  4395        1:? 2:atempora       0.678 
  4396        1:? 2:atempora       1 
  4397        1:? 2:atempora       1 
  4398        1:? 2:atempora       0.997 
  4399        1:? 2:atempora       0.528 
  4400        1:? 1:temporal       1 
  4401        1:? 2:atempora       0.994 
  4402        1:? 1:temporal       0.969 
  4403        1:? 1:temporal       0.84 
  4404        1:? 1:temporal       0.912 
  4405        1:? 2:atempora       0.758 
  4406        1:? 2:atempora       0.994 
  4407        1:? 2:atempora       1 
  4408        1:? 2:atempora       1 
  4409        1:? 2:atempora       0.843 
  4410        1:? 2:atempora       1 
  4411        1:? 2:atempora       1 
  4412        1:? 2:atempora       1 
  4413        1:? 2:atempora       0.607 
  4414        1:? 2:atempora       1 
  4415        1:? 2:atempora       0.999 
  4416        1:? 2:atempora       1 
  4417        1:? 1:temporal       0.547 
  4418        1:? 2:atempora       0.983 
  4419        1:? 2:atempora       0.925 
  4420        1:? 2:atempora       0.81 
  4421        1:? 1:temporal       0.54 
  4422        1:? 1:temporal       0.778 
  4423        1:? 1:temporal       0.63 
  4424        1:? 2:atempora       0.992 
  4425        1:? 2:atempora       0.758 
  4426        1:? 1:temporal       0.739 
  4427        1:? 2:atempora       0.994 
  4428        1:? 1:temporal       0.84 
  4429        1:? 2:atempora       1 
  4430        1:? 2:atempora       0.97 
  4431        1:? 2:atempora       1 
  4432        1:? 2:atempora       0.996 
  4433        1:? 2:atempora       0.997 
  4434        1:? 2:atempora       0.899 
  4435        1:? 2:atempora       0.999 
  4436        1:? 1:temporal       1 
  4437        1:? 2:atempora       1 
  4438        1:? 2:atempora       0.783 
  4439        1:? 2:atempora       1 
  4440        1:? 2:atempora       0.913 
  4441        1:? 1:temporal       0.532 
  4442        1:? 2:atempora       0.972 
  4443        1:? 2:atempora       0.981 
  4444        1:? 1:temporal       0.579 
  4445        1:? 2:atempora       0.973 
  4446        1:? 2:atempora       1 
  4447        1:? 2:atempora       0.991 
  4448        1:? 2:atempora       0.608 
  4449        1:? 1:temporal       0.623 
  4450        1:? 2:atempora       1 
  4451        1:? 2:atempora       1 
  4452        1:? 2:atempora       0.998 
  4453        1:? 2:atempora       0.999 
  4454        1:? 1:temporal       0.971 
  4455        1:? 2:atempora       0.718 
  4456        1:? 1:temporal       0.778 
  4457        1:? 2:atempora       0.936 
  4458        1:? 2:atempora       1 
  4459        1:? 1:temporal       0.737 
  4460        1:? 2:atempora       0.979 
  4461        1:? 2:atempora       0.985 
  4462        1:? 1:temporal       0.63 
  4463        1:? 2:atempora       1 
  4464        1:? 2:atempora       1 
  4465        1:? 2:atempora       1 
  4466        1:? 1:temporal       0.841 
  4467        1:? 2:atempora       0.988 
  4468        1:? 2:atempora       0.97 
  4469        1:? 2:atempora       0.982 
  4470        1:? 2:atempora       0.997 
  4471        1:? 2:atempora       1 
  4472        1:? 2:atempora       0.904 
  4473        1:? 1:temporal       0.933 
  4474        1:? 2:atempora       0.867 
  4475        1:? 2:atempora       1 
  4476        1:? 2:atempora       0.633 
  4477        1:? 2:atempora       1 
  4478        1:? 2:atempora       0.992 
  4479        1:? 2:atempora       1 
  4480        1:? 2:atempora       1 
  4481        1:? 2:atempora       0.761 
  4482        1:? 2:atempora       0.828 
  4483        1:? 2:atempora       0.955 
  4484        1:? 2:atempora       0.996 
  4485        1:? 2:atempora       0.944 
  4486        1:? 2:atempora       0.97 
  4487        1:? 2:atempora       0.927 
  4488        1:? 1:temporal       0.528 
  4489        1:? 2:atempora       0.997 
  4490        1:? 2:atempora       1 
  4491        1:? 2:atempora       1 
  4492        1:? 1:temporal       0.84 
  4493        1:? 1:temporal       0.709 
  4494        1:? 2:atempora       1 
  4495        1:? 2:atempora       0.999 
  4496        1:? 2:atempora       0.995 
  4497        1:? 2:atempora       0.98 
  4498        1:? 1:temporal       1 
  4499        1:? 2:atempora       0.977 
  4500        1:? 2:atempora       0.996 
  4501        1:? 2:atempora       0.864 
  4502        1:? 2:atempora       0.997 
  4503        1:? 2:atempora       0.922 
  4504        1:? 2:atempora       0.955 
  4505        1:? 2:atempora       0.969 
  4506        1:? 2:atempora       0.997 
  4507        1:? 1:temporal       1 
  4508        1:? 1:temporal       0.784 
  4509        1:? 2:atempora       0.927 
  4510        1:? 2:atempora       0.979 
  4511        1:? 2:atempora       1 
  4512        1:? 2:atempora       1 
  4513        1:? 1:temporal       0.63 
  4514        1:? 2:atempora       0.972 
  4515        1:? 2:atempora       0.907 
  4516        1:? 2:atempora       0.96 
  4517        1:? 2:atempora       0.996 
  4518        1:? 2:atempora       0.907 
  4519        1:? 2:atempora       1 
  4520        1:? 2:atempora       0.999 
  4521        1:? 2:atempora       1 
  4522        1:? 1:temporal       0.877 
  4523        1:? 2:atempora       0.759 
  4524        1:? 2:atempora       0.74 
  4525        1:? 2:atempora       0.886 
  4526        1:? 1:temporal       0.54 
  4527        1:? 2:atempora       1 
  4528        1:? 1:temporal       0.898 
  4529        1:? 2:atempora       0.995 
  4530        1:? 2:atempora       0.758 
  4531        1:? 1:temporal       0.527 
  4532        1:? 1:temporal       0.557 
  4533        1:? 2:atempora       1 
  4534        1:? 2:atempora       0.819 
  4535        1:? 2:atempora       0.909 
  4536        1:? 2:atempora       0.996 
  4537        1:? 2:atempora       0.989 
  4538        1:? 2:atempora       0.985 
  4539        1:? 2:atempora       1 
  4540        1:? 1:temporal       0.766 
  4541        1:? 2:atempora       1 
  4542        1:? 1:temporal       0.63 
  4543        1:? 2:atempora       0.995 
  4544        1:? 2:atempora       0.678 
  4545        1:? 2:atempora       0.844 
  4546        1:? 2:atempora       0.941 
  4547        1:? 2:atempora       0.983 
  4548        1:? 1:temporal       0.898 
  4549        1:? 2:atempora       1 
  4550        1:? 2:atempora       0.758 
  4551        1:? 1:temporal       0.992 
  4552        1:? 2:atempora       0.678 
  4553        1:? 2:atempora       0.758 
  4554        1:? 2:atempora       0.868 
  4555        1:? 2:atempora       0.966 
  4556        1:? 2:atempora       0.965 
  4557        1:? 2:atempora       1 
  4558        1:? 2:atempora       0.825 
  4559        1:? 2:atempora       0.94 
  4560        1:? 2:atempora       0.794 
  4561        1:? 1:temporal       0.812 
  4562        1:? 1:temporal       0.547 
  4563        1:? 2:atempora       1 
  4564        1:? 2:atempora       1 
  4565        1:? 2:atempora       0.988 
  4566        1:? 2:atempora       1 
  4567        1:? 1:temporal       0.726 
  4568        1:? 2:atempora       0.994 
  4569        1:? 2:atempora       0.867 
  4570        1:? 1:temporal       0.623 
  4571        1:? 2:atempora       0.994 
  4572        1:? 2:atempora       0.661 
  4573        1:? 1:temporal       0.784 
  4574        1:? 2:atempora       0.997 
  4575        1:? 1:temporal       0.854 
  4576        1:? 2:atempora       0.97 
  4577        1:? 1:temporal       0.722 
  4578        1:? 2:atempora       0.997 
  4579        1:? 2:atempora       1 
  4580        1:? 2:atempora       0.992 
  4581        1:? 2:atempora       1 
  4582        1:? 2:atempora       0.985 
  4583        1:? 2:atempora       1 
  4584        1:? 2:atempora       0.678 
  4585        1:? 2:atempora       0.939 
  4586        1:? 2:atempora       0.958 
  4587        1:? 2:atempora       0.99 
  4588        1:? 2:atempora       0.999 
  4589        1:? 1:temporal       0.616 
  4590        1:? 2:atempora       0.968 
  4591        1:? 2:atempora       0.996 
  4592        1:? 1:temporal       0.969 
  4593        1:? 2:atempora       1 
  4594        1:? 2:atempora       0.977 
  4595        1:? 2:atempora       0.964 
  4596        1:? 2:atempora       0.997 
  4597        1:? 2:atempora       0.98 
  4598        1:? 1:temporal       0.836 
  4599        1:? 2:atempora       0.987 
  4600        1:? 1:temporal       0.92 
  4601        1:? 2:atempora       0.643 
  4602        1:? 2:atempora       0.81 
  4603        1:? 2:atempora       0.823 
  4604        1:? 1:temporal       0.729 
  4605        1:? 2:atempora       0.969 
  4606        1:? 2:atempora       0.988 
  4607        1:? 2:atempora       0.807 
  4608        1:? 2:atempora       1 
  4609        1:? 2:atempora       1 
  4610        1:? 2:atempora       0.984 
  4611        1:? 2:atempora       1 
  4612        1:? 1:temporal       0.634 
  4613        1:? 2:atempora       1 
  4614        1:? 2:atempora       1 
  4615        1:? 2:atempora       1 
  4616        1:? 2:atempora       0.998 
  4617        1:? 2:atempora       0.963 
  4618        1:? 1:temporal       0.722 
  4619        1:? 2:atempora       0.994 
  4620        1:? 2:atempora       0.921 
  4621        1:? 2:atempora       0.999 
  4622        1:? 2:atempora       0.979 
  4623        1:? 2:atempora       0.911 
  4624        1:? 2:atempora       1 
  4625        1:? 2:atempora       0.894 
  4626        1:? 2:atempora       0.906 
  4627        1:? 2:atempora       0.907 
  4628        1:? 2:atempora       0.996 
  4629        1:? 2:atempora       0.768 
  4630        1:? 1:temporal       0.712 
  4631        1:? 2:atempora       1 
  4632        1:? 2:atempora       1 
  4633        1:? 2:atempora       0.844 
  4634        1:? 2:atempora       0.961 
  4635        1:? 1:temporal       0.63 
  4636        1:? 2:atempora       0.663 
  4637        1:? 2:atempora       0.867 
  4638        1:? 1:temporal       0.812 
  4639        1:? 2:atempora       0.968 
  4640        1:? 1:temporal       0.889 
  4641        1:? 2:atempora       0.867 
  4642        1:? 2:atempora       1 
  4643        1:? 2:atempora       1 
  4644        1:? 1:temporal       0.84 
  4645        1:? 2:atempora       0.998 
  4646        1:? 1:temporal       0.936 
  4647        1:? 2:atempora       1 
  4648        1:? 2:atempora       0.981 
  4649        1:? 2:atempora       0.992 
  4650        1:? 1:temporal       0.63 
  4651        1:? 2:atempora       0.671 
  4652        1:? 2:atempora       0.969 
  4653        1:? 1:temporal       0.898 
  4654        1:? 2:atempora       0.996 
  4655        1:? 2:atempora       1 
  4656        1:? 2:atempora       0.718 
  4657        1:? 1:temporal       0.535 
  4658        1:? 2:atempora       0.994 
  4659        1:? 2:atempora       0.759 
  4660        1:? 2:atempora       0.84 
  4661        1:? 2:atempora       0.994 
  4662        1:? 1:temporal       0.969 
  4663        1:? 1:temporal       0.557 
  4664        1:? 2:atempora       0.867 
  4665        1:? 1:temporal       1 
  4666        1:? 1:temporal       0.611 
  4667        1:? 2:atempora       1 
  4668        1:? 2:atempora       0.517 
  4669        1:? 1:temporal       0.84 
  4670        1:? 2:atempora       0.99 
  4671        1:? 2:atempora       0.867 
  4672        1:? 1:temporal       0.898 
  4673        1:? 2:atempora       1 
  4674        1:? 1:temporal       0.854 
  4675        1:? 2:atempora       1 
  4676        1:? 1:temporal       0.639 
  4677        1:? 1:temporal       0.739 
  4678        1:? 2:atempora       0.658 
  4679        1:? 1:temporal       0.898 
  4680        1:? 2:atempora       1 
  4681        1:? 2:atempora       0.932 
  4682        1:? 2:atempora       0.998 
  4683        1:? 1:temporal       0.935 
  4684        1:? 2:atempora       1 
  4685        1:? 2:atempora       0.907 
  4686        1:? 2:atempora       0.969 
  4687        1:? 1:temporal       0.867 
  4688        1:? 2:atempora       0.941 
  4689        1:? 2:atempora       0.992 
  4690        1:? 2:atempora       0.955 
  4691        1:? 2:atempora       0.783 
  4692        1:? 1:temporal       0.991 
  4693        1:? 2:atempora       0.906 
  4694        1:? 2:atempora       0.97 
  4695        1:? 1:temporal       0.58 
  4696        1:? 1:temporal       0.63 
  4697        1:? 2:atempora       0.907 
  4698        1:? 1:temporal       0.532 
  4699        1:? 2:atempora       0.872 
  4700        1:? 2:atempora       0.994 
  4701        1:? 1:temporal       0.784 
  4702        1:? 2:atempora       0.998 
  4703        1:? 2:atempora       0.678 
  4704        1:? 2:atempora       0.678 
  4705        1:? 1:temporal       0.796 
  4706        1:? 2:atempora       1 
  4707        1:? 1:temporal       0.712 
  4708        1:? 1:temporal       0.81 
  4709        1:? 1:temporal       0.532 
  4710        1:? 2:atempora       0.543 
  4711        1:? 2:atempora       0.998 
  4712        1:? 2:atempora       0.969 
  4713        1:? 1:temporal       1 
  4714        1:? 2:atempora       0.517 
  4715        1:? 2:atempora       0.888 
  4716        1:? 1:temporal       0.972 
  4717        1:? 2:atempora       0.678 
  4718        1:? 2:atempora       0.869 
  4719        1:? 2:atempora       0.867 
  4720        1:? 2:atempora       1 
  4721        1:? 2:atempora       1 
  4722        1:? 1:temporal       0.972 
  4723        1:? 2:atempora       0.989 
  4724        1:? 2:atempora       1 
  4725        1:? 2:atempora       0.96 
  4726        1:? 2:atempora       0.995 
  4727        1:? 2:atempora       0.996 
  4728        1:? 2:atempora       0.867 
  4729        1:? 2:atempora       0.999 
  4730        1:? 2:atempora       0.979 
  4731        1:? 2:atempora       0.867 
  4732        1:? 2:atempora       0.941 
  4733        1:? 2:atempora       0.876 
  4734        1:? 2:atempora       0.824 
  4735        1:? 2:atempora       0.995 
  4736        1:? 2:atempora       0.681 
  4737        1:? 2:atempora       1 
  4738        1:? 2:atempora       1 
  4739        1:? 2:atempora       0.81 
  4740        1:? 2:atempora       0.867 
  4741        1:? 2:atempora       0.829 
  4742        1:? 2:atempora       0.969 
  4743        1:? 1:temporal       1 
  4744        1:? 2:atempora       0.783 
  4745        1:? 2:atempora       0.997 
  4746        1:? 2:atempora       0.718 
  4747        1:? 1:temporal       0.708 
  4748        1:? 2:atempora       1 
  4749        1:? 1:temporal       0.84 
  4750        1:? 2:atempora       0.872 
  4751        1:? 2:atempora       1 
  4752        1:? 2:atempora       0.505 
  4753        1:? 1:temporal       0.63 
  4754        1:? 1:temporal       0.63 
  4755        1:? 2:atempora       0.904 
  4756        1:? 2:atempora       1 
  4757        1:? 2:atempora       1 
  4758        1:? 2:atempora       0.568 
  4759        1:? 2:atempora       0.771 
  4760        1:? 2:atempora       0.758 
  4761        1:? 2:atempora       1 
  4762        1:? 1:temporal       0.85 
  4763        1:? 1:temporal       0.968 
  4764        1:? 2:atempora       0.999 
  4765        1:? 1:temporal       0.84 
  4766        1:? 2:atempora       0.74 
  4767        1:? 1:temporal       0.784 
  4768        1:? 2:atempora       0.768 
  4769        1:? 1:temporal       0.938 
  4770        1:? 2:atempora       0.604 
  4771        1:? 2:atempora       0.956 
  4772        1:? 1:temporal       0.968 
  4773        1:? 1:temporal       0.63 
  4774        1:? 2:atempora       1 
  4775        1:? 2:atempora       0.678 
  4776        1:? 2:atempora       1 
  4777        1:? 1:temporal       0.63 
  4778        1:? 2:atempora       1 
  4779        1:? 2:atempora       0.58 
  4780        1:? 1:temporal       0.542 
  4781        1:? 2:atempora       0.893 
  4782        1:? 2:atempora       0.988 
  4783        1:? 2:atempora       0.872 
  4784        1:? 2:atempora       0.974 
  4785        1:? 2:atempora       0.886 
  4786        1:? 2:atempora       0.921 
  4787        1:? 2:atempora       0.671 
  4788        1:? 2:atempora       0.998 
  4789        1:? 1:temporal       0.743 
  4790        1:? 1:temporal       0.857 
  4791        1:? 2:atempora       0.647 
  4792        1:? 2:atempora       0.678 
  4793        1:? 2:atempora       0.944 
  4794        1:? 1:temporal       0.84 
  4795        1:? 2:atempora       0.944 
  4796        1:? 2:atempora       0.804 
  4797        1:? 2:atempora       0.997 
  4798        1:? 1:temporal       0.739 
  4799        1:? 2:atempora       1 
  4800        1:? 2:atempora       0.995 
  4801        1:? 2:atempora       1 
  4802        1:? 2:atempora       0.994 
  4803        1:? 2:atempora       0.678 
  4804        1:? 2:atempora       0.989 
  4805        1:? 2:atempora       0.678 
  4806        1:? 2:atempora       1 
  4807        1:? 2:atempora       0.997 
  4808        1:? 1:temporal       0.857 
  4809        1:? 1:temporal       0.84 
  4810        1:? 2:atempora       1 
  4811        1:? 1:temporal       0.759 
  4812        1:? 2:atempora       0.945 
  4813        1:? 2:atempora       0.617 
  4814        1:? 2:atempora       0.63 
  4815        1:? 2:atempora       0.907 
  4816        1:? 2:atempora       1 
  4817        1:? 1:temporal       0.726 
  4818        1:? 2:atempora       1 
  4819        1:? 1:temporal       0.898 
  4820        1:? 1:temporal       0.968 
  4821        1:? 2:atempora       0.936 
  4822        1:? 1:temporal       0.84 
  4823        1:? 2:atempora       0.79 
  4824        1:? 2:atempora       0.973 
  4825        1:? 2:atempora       1 
  4826        1:? 1:temporal       0.857 
  4827        1:? 2:atempora       0.678 
  4828        1:? 2:atempora       1 
  4829        1:? 2:atempora       0.867 
  4830        1:? 2:atempora       1 
  4831        1:? 2:atempora       0.872 
  4832        1:? 2:atempora       1 
  4833        1:? 1:temporal       0.796 
  4834        1:? 2:atempora       1 
  4835        1:? 1:temporal       0.63 
  4836        1:? 2:atempora       0.972 
  4837        1:? 2:atempora       0.968 
  4838        1:? 1:temporal       0.923 
  4839        1:? 2:atempora       0.988 
  4840        1:? 2:atempora       0.936 
  4841        1:? 2:atempora       0.907 
  4842        1:? 2:atempora       1 
  4843        1:? 2:atempora       1 
  4844        1:? 2:atempora       0.865 
  4845        1:? 2:atempora       0.994 
  4846        1:? 2:atempora       0.989 
  4847        1:? 1:temporal       0.938 
  4848        1:? 2:atempora       0.867 
  4849        1:? 2:atempora       1 
  4850        1:? 2:atempora       0.97 
  4851        1:? 2:atempora       0.867 
  4852        1:? 1:temporal       0.739 
  4853        1:? 2:atempora       0.617 
  4854        1:? 2:atempora       1 
  4855        1:? 1:temporal       0.528 
  4856        1:? 2:atempora       0.998 
  4857        1:? 2:atempora       0.969 
  4858        1:? 2:atempora       0.867 
  4859        1:? 2:atempora       0.994 
  4860        1:? 1:temporal       0.764 
  4861        1:? 2:atempora       1 
  4862        1:? 2:atempora       0.91 
  4863        1:? 1:temporal       0.936 
  4864        1:? 2:atempora       0.997 
  4865        1:? 2:atempora       1 
  4866        1:? 1:temporal       1 
  4867        1:? 2:atempora       0.867 
  4868        1:? 2:atempora       0.936 
  4869        1:? 1:temporal       1 
  4870        1:? 2:atempora       1 
  4871        1:? 2:atempora       0.997 
  4872        1:? 2:atempora       0.995 
  4873        1:? 1:temporal       0.712 
  4874        1:? 1:temporal       1 
  4875        1:? 1:temporal       0.938 
  4876        1:? 2:atempora       0.932 
  4877        1:? 2:atempora       1 
  4878        1:? 2:atempora       1 
  4879        1:? 2:atempora       0.904 
  4880        1:? 1:temporal       0.714 
  4881        1:? 1:temporal       0.583 
  4882        1:? 2:atempora       0.998 
  4883        1:? 1:temporal       0.914 
  4884        1:? 1:temporal       0.673 
  4885        1:? 2:atempora       0.999 
  4886        1:? 1:temporal       0.661 
  4887        1:? 1:temporal       0.739 
  4888        1:? 1:temporal       0.84 
  4889        1:? 1:temporal       0.623 
  4890        1:? 2:atempora       1 
  4891        1:? 2:atempora       0.65 
  4892        1:? 2:atempora       0.904 
  4893        1:? 2:atempora       1 
  4894        1:? 2:atempora       0.997 
  4895        1:? 1:temporal       0.999 
  4896        1:? 2:atempora       1 
  4897        1:? 2:atempora       0.771 
  4898        1:? 2:atempora       0.949 
  4899        1:? 1:temporal       0.939 
  4900        1:? 2:atempora       0.936 
  4901        1:? 2:atempora       0.999 
  4902        1:? 1:temporal       0.999 
  4903        1:? 2:atempora       0.997 
  4904        1:? 2:atempora       1 
  4905        1:? 2:atempora       0.907 
