@relation timetagging

@attribute gloss String
@attribute tense {past,present,future,neutral,atemporal}



@data
' सोफा बनाने का काम ',atemporal
' रात्रि-भोजन ग्रहण करने का काम या डिनर लेने की क्रिया',atemporal
' संगणक या कम्प्यूटर द्वारा बना रेखाचित्र',atemporal
' दूसरों के दोष ढूँढ़नेवाला',atemporal
' किसी वस्तु, बात आदि पर विचार न करने की क्रिया या भाव',atemporal
' वह जल जिसमें चावल धोया गया हो',atemporal
' जिसमें पेच लगा या जड़ा हो',atemporal
' वह जिसका अधिरोप किया गया हो (अपराध)',atemporal
' सिर पर लपेटकर बाँधा जाने वाला लम्बा कपड़ा',future
' रूई भरे हुए कपड़े की दूरृ-दूर पर मोटी और लंबी सिलाई करना',past
' झूले पर बैठकर पेंग लेना',atemporal
' जो कवच धारण न करता हो या किया हो',atemporal
' जिसमें चेतनता या जीवन न हो',atemporal
' विघ्न का अभाव',atemporal
' एक तरह का सुगंधित बीज जो दवा और मसाले के रूप में प्रयुक्त होता है',neutral
' स्केंडिनेविया के निवासी ',atemporal
' जो पूजा करने के योग्य हो',atemporal
' बहुत परेशान या तंग करना',atemporal
' वह स्थान जहाँ बैठकर किसी प्रकार का उपदेश, शिक्षा आदि दी जाती हो',atemporal
' तकनीकी-संबंधी कार्य करने की योग्यता',atemporal
' किसी वस्तु पर जीभ फेरना',atemporal
' बहुत अधिक खर्च करने की आदत',atemporal
' मैला या मलिन करना',atemporal
' किसी स्थान, घर आदि के अंदर रखना',atemporal
' वह जो किसी काम को चलाता या गति देता हो',atemporal
' जिससे रक्षा हो',atemporal
' बादशाह संबंधी या बादशाह का',atemporal
' जिसके अंत में इ अक्षर हो',atemporal
' वह जो अनुकरण करता हो',atemporal
' अच्छी गन्ध या महक',present
' एक प्रकार का चलता गाना जिसमें एक स्थायी और एक ही अंतरा होता है',neutral
' वह मंत्री जिसकी देख-रेख में कानून मंत्रालय हो',atemporal
' साटन या अतलस की तरह',present
' उत्तर-पश्चिम का कोना या उपदिशा',atemporal
' किसी काम आदि के सिलसिले में किसी के समक्ष उपस्थित होना या आना',atemporal
' किसी काम, बात आदि को शुरू करना',atemporal
' बोलीविया का निवासी ',atemporal
' कोई खट्टी चीज़',atemporal
' वैद्य का काम या पेशा',atemporal
' सफाई करने की मज़दूरी',atemporal
' साथ में यात्रा करनेवाला व्यक्ति',atemporal
' हड़ताल करनेवाला',atemporal
' जो किसी दल का न हो',atemporal
' बिछौना करने या शय्या सजानेवाला नौकर',atemporal
' किसी वस्तु आदि के आस-पास चक्कर काटना',atemporal
' * किसी के आधार, सहारे या आश्रय में होना',atemporal
' जो जाना जा सके या जानने योग्य हो',atemporal
' जिसका आकार छोटा हो',atemporal
' भेड़ या बकरियों का झुंड',atemporal
' व्यथा या पीड़ा का अभाव',atemporal
' किसी चीज, बात या व्यक्ति का उपयोगी या व्यवहार के योग्य न होना',atemporal
' * ख़राब या अकुशल नाट्यकार या वह नाट्यकार जो कुशल न हो',atemporal
' चयन करने योग्य या चुनने योग्य',atemporal
' कोई काम समय पर न करना',atemporal
' बराबर झगड़ा करनेवाला',atemporal
' जिसने इच्छापत्र या वसीयतनामा न लिखा हो',atemporal
' इकसठ साल पूरा होने के कारण मनाया जाने वाला समारोह',future
' हार मान लेना',atemporal
' रास्ता दिखाने का कार्य',atemporal
' धड़-धड़ शब्द करते हुए',past
' वह बहन जो उम्र में बड़ी हो',atemporal
' मछली फँसाने के लिए उपयोग में लाया जाने वाला चारा',future
' लेन-देन आदि में किसी के जिम्मे कोई रकम बाकी निकलना',atemporal
' देवता आदि का छन्दोबद्ध गुणगान',atemporal
' जिसने वर्दी पहनी हो',atemporal
' वह पदार्थ जिस पर अपना अधिकार या स्वत्व जताया जाय',atemporal
' तक़लीफ़, उत्पीड़न आदि सहना',atemporal
' किसी चोट या अपमान का बदला लेना',atemporal
' जो शांत करनेवाला हो',atemporal
' छत्र धारण करनेवाला',atemporal
' जिसके अंत में द वर्ण हो',atemporal
' * ऐसा करना कि किण्वन हो',atemporal
' किसी पुस्तक का अंतिम प्रकरण जिसमें उसका उद्देश्य संक्षेप में बतलाया गया हो',atemporal
' किसी बात आदि का सबसे महत्त्वपूर्ण या मुख्य पक्ष जिसमें गतिमानता हो',atemporal
' द्रोह का अभाव',atemporal
' बीस वस्तुओं आदि का वर्ग या समूह',atemporal
' गीदड़ की तरह का एक जंगली छोटा पशु',present
' ईर्ष्या करनेवाला',atemporal
' खाना पकाने के लिए बनाई गई मिट्टी की वह रचना जो लगभग चार ऊँगल चौड़ी, अर्द्ध-गोलाकर तथा कम से कम डेढ़ बित्ती ऊँची होती है जिसकी रिक्त जगह में लकड़ियाँ जलाकर आग लगाते हैं और उसके ऊपर पकाने के लिए बर्तन रखते हैं',neutral
' गरुड़ अथवा कोई दिव्य पक्षी ',atemporal
' जो दिया जा सके',atemporal
' वह प्रणाली जिसमें घर बैठे, उपकरणों से अन्यत्र घटित होते हुए दृश्य देखे जाते हैं',past
' भिन्नत्व का अभाव',atemporal
' रहने की व्यवस्था करना',atemporal
' एक लम्बी, दृढ़ वनस्पति जिसके कांडों में जगह-जगह गाँठें होती हैं और जो छाजन, टोकरे आदि बनाने के काम आती है',neutral
' थानेदार का काम',atemporal
' कल्पना करना',atemporal
' रूप निखार के लिए बना स्थान',atemporal
' कल्याण करनेवाला',atemporal
' वह जो घोड़े पर सवार हो',atemporal
' जो मानव संबंधी हो',atemporal
' * जहाज या वायुयान में कुछ रखने के लिए बना कक्ष',atemporal
' कुश की तरह की एक घास',present
' जो किसी काम आदि में सहायता करे',atemporal
' वह बात या कार्य जो किसी को लुभाकर अपनी ओर खींचने या उससे कोई काम कराने के लिए हो',atemporal
' जो भंग हो गया हो या टूट गया हो',atemporal
' जो अच्छी तरह से पढ़ा जा चुका हो',present
' फागुन संबंधी या फागुन का',atemporal
' जिससे लज्जा उत्पन्न होती हो',atemporal
' वह कर्मचारी जो आय-व्यय आदि का हिसाब लिखता या रखता हो',atemporal
' कहीं आश्रय लेना',atemporal
' बेगम या रानी संबंधी',atemporal
' वह जिसका लघु उद्योग हो',atemporal
' किसी प्रयत्न में इधर-उधर फिरना',atemporal
' कसकर भरा होना',atemporal
' जिसे अपने प्रिय या पति का वियोग हो',atemporal
' (जीवनयापन करने के लिए) निवास करना',atemporal
' जो देखने योग्य न हो',atemporal
' जिसे शांति पसंद हो',atemporal
' तलवार की तरह का एक हथियार',present
' अपना गुण या प्रभाव दिखाना',atemporal
' जो मतवाला न हो या प्रमाद रहित',atemporal
' पूँजीवाद संबंधी या पूँजीवाद का',atemporal
' भाँड़ का काम',atemporal
' बूरी तरह से चूकना या असफल होना या धोखा खाना',present
' बच्चों आदि का उमंग में थोड़ी-थोड़ी दूर पर पैर पटकते हुए चलना',past
' जिसमें स्तर या परत हो',atemporal
' दो व्यक्ति, वस्तु आदि जो एक-दूसरे के सहयोगी या सम्बद्ध हों ',atemporal
' जो सब जगह विद्यमान हो ',atemporal
' वह आमदनी जो बँधी-बँधाई न हो ',atemporal
' शरीर के किसी नाड़ी, पेशी आदि का कड़ा होना',atemporal
' तुर्किस्तान में निवास करनेवाला',atemporal
' योग्यता,विशेषता,सामर्थ्य,गुण आदि जानने के लिए अच्छी तरह से देखने या परखने की क्रिया या भाव',present
' एक रासायनिक बंध जिसमें एक परमाणु धनात्मक आयन बनाने के लिए एक इलेक्ट्रान देता है और दूसरा परमाणु उस इलेक्ट्रान को लेकर ऋणात्मक आयन बनाता है',neutral
' जो बिना मिलावट का हो या एकदम अच्छा',atemporal
' रामायण का चौथा कांड',atemporal
' वंश का नाम',atemporal
' वह कार्य या प्रयत्न जिससे अभीष्ट तक पहुँचा जाए',atemporal
' स्मृतियों का ज्ञाता या पंडित',atemporal
' अपनी गलती पर लज्जा महसूस करना',atemporal
' मंज़िल या तल्ले का',atemporal
' वह सांकेतिक पद या शब्द जिसमें कोई वस्तु बनाने या कार्य करने के मूल सिद्धांत, प्रक्रिया आदि का संक्षिप्त विधान निहित हो',atemporal
' मंडलाकार वस्तु',atemporal
' सिंगापुर के निवासी ',atemporal
' एड्रीनल ग्रंथि द्वारा संश्लेषित, केंद्रीय तंत्रिकातंत्र के सामान्य काम-काज के लिए आवश्यक, मस्तिष्क में पाया जाने वाला एक पदार्थ',future
' एक तरह का मुलायम, आकर्षक फीता जिसमें समरूप आकृतियाँ बनी होती हैं और जो कपड़ों में शोभा के लिए लगाया जाता है',neutral
' किसी वस्तु को किसी दूसरी वस्तु के अंदर डालना',atemporal
' किसानों या खेतिहरों का समूह',atemporal
' तुलसी की तरह का एक पौधा',present
' तू-तू करके संबोधन करना ',atemporal
' इधर-उधर दूर तक पहुँचना',atemporal
' किसी के द्वारा पहनकर उतारे हुए वे पुराने कपड़े जिनका उपयोग अब वह न करता हो ',past
' वह जो लोगों को आतंकित करता हो',atemporal
' पास में होकर बात करना या बात आदि करने के लिए पास आकर ललक दिखाना',atemporal
' किसी व्यक्ति, वस्तु आदि की कहीं पर आवश्यकता होना',atemporal
' वह जो साथ पढ़ा हो',atemporal
' पार्थ राज्य में रहनेवाला व्यक्ति',atemporal
' ऊँचा स्थान ',atemporal
' उथल-पुथल करनेवाला प्रयत्न',atemporal
' किसी बात या कार्य आदि की शुरुआत होना',atemporal
' नाव चलानेवाला व्यक्ति',atemporal
' थोड़ी मात्रा में किया जाने वाला भोजन',future
' वह घंटा जिसके ऊपर गरुड़ की मूर्ति बनी हो ',atemporal
' क्रोध,प्रेम आदि के कारण जो आपे में न हो',atemporal
' भारत के सभी भागों में पाया जानेवाला एक प्रकार का तोता जो आकार में छोटा होता है',neutral
' निकट या पास लाने योग्य',atemporal
' कंजड़ जाति का सदस्य',atemporal
' जो जपा न जाए या जिसका जप न किया जाए',atemporal
' वह पेड़ जिसकी डालें, पत्तियाँ आदि न रह गई हों',atemporal
' एक तरह का साँप',present
' किसी बात, कार्य आदि को दिमाग़ में रखना या न भूलना',atemporal
' छाँटने का काम',atemporal
' जिसमे आलस्य न हो',atemporal
' उत्साह उत्पन्न करने वाले',atemporal
' जो सहन करनेवाला हो',atemporal
' कम्प्यूटर के पढ़ने योग्य फाइल',atemporal
' लोहार का काम',atemporal
' फँसाने वाली वस्तु',atemporal
' क्षत्रिय संबंधी',atemporal
' किसी वस्तु आदि का मचमच शब्द करना ',atemporal
' शिक्षा का अभाव',atemporal
' नीचे का स्थान',atemporal
' उत्पन्न होना',atemporal
' ओंठों का चुम्बन',atemporal
' गया तीर्थ का पंडा',atemporal
' जिसे मार पड़ी हो',atemporal
' नेपाल का निवासी या वहाँ रहनेवाला व्यक्ति',atemporal
' वह व्यक्ति जो शिक्षित न हो',atemporal
' जिसने जन्म न लिया हो',atemporal
' वह मंत्री जिसकी देख-रेख में ऊर्जा मंत्रालय हो',atemporal
' जो रक्षित न हो',atemporal
' जिनमें मेल न हो',atemporal
' तबर या कुल्हाड़ी चलाने का काम ',atemporal
' ब्रितानी संसद का उच्च सदन',atemporal
' जो जोड़ा जा सके या प्रयुक्त हो सके',atemporal
' किसी वस्तु, स्थान आदि का सबसे ऊपरी भाग',atemporal
' उबालने या खौलाने का काम',atemporal
' एक तरह की घास',present
' सुराही की तरह गोल और लम्बोतरा ',present
' वह तत्व जो परमाणु से कम जटिल होता है तथा जिसे सभी तत्वों का घटक माना जाता है',neutral
' किसी को ऐसी बात कहना कि उसे लज्जा महसूस हो',atemporal
' जल्दी खराब या नष्ट न होना या अधिक दिन तक काम देना',atemporal
' अच्छा हो कि',atemporal
' व्यभिचार करने वाली स्त्री',atemporal
' इधर-उधर या चारों ओर फैलाना',atemporal
' कहीं पर कोई वस्तु देना',atemporal
' एक तरह की फुंसी',present
' विस्तारपूर्वक कहा या लिखा जाने वाला हाल',future
' निशाना लगाने योग्य या लक्ष्य साधने योग्य',atemporal
' जिसके अस्तित्व का उद्देश्य पूरा या सिद्ध हो गया हो',atemporal
' कोई वस्तु नीचे डाल देना',atemporal
' प्रविष्ट होना',atemporal
' अमीरों या धनवानों जैसा या जिससे अमीरी प्रगट हो',atemporal
' कृषि संबंधी तत्वों का विवेचन करनेवाला विज्ञान',atemporal
' खड़े हुए मनुष्य के वक्षस्थल और कमर के बीच का वह स्थान जिस पर बच्चों को बैठाकर हाथ के घेरे से सँभाला जाता है',past
' धृष्टतापूर्वक बिना समझे-बूझे जो मुँह में आवे वह कहने की क्रिया या किसी के मुँह पर उसका लिहाज किए बिना उल्टी सीधी बातें कहने की क्रिया',past
' वह जो बालिग़ न हो ',atemporal
' वह अवलेह या बरफी जिसमें भाँग मिली हो',atemporal
' वह व्यक्ति जो भाग्यशाली न हो ',atemporal
' किसी वस्तु या बात का वह अंश या भाग जो ग्रहण करने योग्य हो',atemporal
' लुहार जाति का सदस्य',atemporal
' किसी को धोखा देने के लिए बनाया हुआ रूप या किया जाने वाला काम',future
' मनोविज्ञान का ज्ञाता',atemporal
' वध का अभाव',atemporal
' प्रभुता का अभाव ',atemporal
' युद्ध का या युद्ध संबंधी',atemporal
' उत्तर कोरिया का निवासी ',atemporal
' अनुशासन करने योग्य',atemporal
' वह स्थान जहाँ सभी की तरह की आवश्यक सुविधाएँ उपलब्ध हो',present
' जोड़ों में दर्द होना',atemporal
' पत्रकार का काम ',atemporal
' सपेरा जाति की दो महिलाओं द्वारा किया जाने वाला एक राजस्थानी नृत्य',future
' खुले क्षेत्र में खेला जानेवाला एक खेल जिसमें नौ या अठारह छेद बने होते हैं और इन छेदों में गेंद को पिलाया जाता है',neutral
' किसी को किसी से अलग करना',atemporal
' जो धर्म के अनुसार शुद्ध या महत्व का हो',atemporal
' वह अवसर जो उपयुक्त न हो',atemporal
' वह जो राजनीतिशास्त्र का ज्ञाता हो ',atemporal
' लोहे की अंकुड़ियों का वह गुच्छा जिससे कुएँ में गिरे हुए बरतन आदि निकालते हैं',past
' जो मारने योग्य न हो ',atemporal
' तबले,मृदंग आदि पर पूरे पंजे से किया जाने वाला आघात',future
' किसी द्वीप का वासी',atemporal
' बीमारी, कमज़ोरी, अनिद्रा आदि के कारण किसी को ऐसा अनुभव होना कि वह गिर जाएगा',atemporal
' किसी दवाई या उपचार का प्रतिकूल या हानिकर प्रभाव',atemporal
' अच्छा घुड़सवार ',atemporal
' जितना हो उतना मिलाकर',atemporal
' पश्चिम का या पश्चिम-संबंधी',atemporal
' सुवासित करने का यंत्र',atemporal
' हल का वह लंबा लट्ठा जिसके एक सिरे पर फालवाली लकड़ी और दूसरे सिरे पर जुआठा लगाया जाता है',neutral
' जो उलटा चलनेवाला हो',atemporal
' हिम का बना शिवलिंग',atemporal
' वह वस्तु जो निम्न कोटि का हो',atemporal
' उड़द के समान एक मोटा अन्न जो चौपायों को खिलाया जाता है और जिसकी दाल भी बनती है',neutral
' स्वर तीव्र होना ',atemporal
' वह व्यक्ति जो वन में निवास करता हो',atemporal
' जिसे खाने की इच्छा न हो',atemporal
' वह जिसे भूख लगी हो',atemporal
' जिसका समाधान हो सके',atemporal
' जिसमें जल का अंश अधिक हो',atemporal
' जिसके पास खरबों की संपत्ति हो',atemporal
' वृक्षों के शरीर से निकलने वाला या पाछकर निकाला जाने वाला तरल पदार्थ',future
' दक्षिणमार्ग का अनुयायी व्यक्ति',atemporal
' अरमेनिया के निवासी ',atemporal
' जिसके अंत में म वर्ण हो',atemporal
' जो निज का या अपना हो या जिस पर अपना अधिकार हो',atemporal
' साहित्य में एक काव्यालंकार जिसमें एक ही वस्तु की किसी दूसरे के कारण से किसी अन्य वस्तु के अनुसार होने का वर्णन होता है',neutral
' एक तरह का सफेद सुगंधित फूल',present
' व्यवस्था या विधान करनेवाला',atemporal
' भारत के दक्षिण प्रदेशों में पाया जाने वाला एक पेड़',future
' तराशने का ढंग या भाव ',atemporal
' परिमाण, मात्रा, संख्या आदि में अधिकता या वृद्धि होना',atemporal
' दूसरे को दौड़ने या भागने में प्रवृत्त करना',atemporal
' नीबू की जाति का एक फल जो मीठा, सुगंधित और रसीला होता है',neutral
' जिसे कोई कार्य करने की इच्छा हो',atemporal
' किसी को महत्व समझाना',atemporal
' अनावश्यक, खराब अथवा फालतू वस्तुओं का उपयोग होना या काम में आना',atemporal
' पारसियों का धर्मग्रंथ',atemporal
' बड़ी तकली',atemporal
' नियत करना ',atemporal
' कटवाने का काम',atemporal
' आमोद-प्रमोद की वस्तु का भोग करना',atemporal
' जिसने समाधि लगाई हो या ली हो',atemporal
' एक तरह का शाक',present
' अच्छी तरह की जाने वाली रक्षा',present
' वह सम्मेलन जिसमें शिक्षक या विशेषज्ञ और लोगों के समूह किसी विषय पर अपने विचारों का आदान-प्रदान करते हैं',past
' जो समर्पण किया गया हो',atemporal
' वह अवस्था जिसमें सभी प्रकार की सुविधाएँ उपलब्ध हों',atemporal
' वह मत जो यह प्रतिपादित करता है कि संसार में दुख की अपेक्षा सुख अधिक है और अंत में सत्य की ही विजय होती है',neutral
' रामायण का पाँचवाँ कांड',atemporal
' साहित्य के नौ रसों में से एक जो असहाय या दीन-दुखी का कष्ट दूर करने के लिए मन में होनेवाले उत्साह और साहस से उत्पन्न होता है',neutral
' कम मूल्य का हीरा या घटिया हीरा',atemporal
' किसी विश्वविद्यालय का सर्वोच्च अधिकारी',atemporal
' ऊँचाई पर मिलनेवाला एक औषधीय झाड़ जो दो से चार फुच ऊँचा और एकवर्षी या द्विवर्षी होता है',neutral
' लवणयुक्त भूमि या वह भूमि जिसमें लवण हो',atemporal
' जिसमें पत्थर हो',atemporal
' बरछे की तरह का एक प्राचीन अस्त्र',present
' बैठने का स्थान',atemporal
' सिंध देश का घोड़ा',atemporal
' किसी कविता या गीत का कोई चरण या पद',atemporal
' एक चक्रीय इंजन जो किसी तरल की गतिज या स्थितिज ऊर्जा के कारण गतिशील होता है और अन्य यन्त्रों को घुमाता है',neutral
' किसी पदार्थ आदि का वास्तविक या मुख्य भाग या गुण',atemporal
' भारतीय आर्यों में किसी कुल या वंश की वह विशिष्ट संज्ञा जो किसी के पूर्वज या कुल गुरु के नाम पर होती है और जिससे वह जन्म के साथ ही जुड़ जाता है',neutral
' किसी काम का अधूरा पड़ना या रहना',atemporal
' क़व्वालों का पेशा',atemporal
' जिसके अंदर का भाग खाली हो',atemporal
' * किसी की भी भीतरी सतह',atemporal
' किसी में मिलना',atemporal
' वह बुद्धि जो प्रशस्त न हो',atemporal
' वह रथ जिसका धुरा सोने का हो',atemporal
' भूल या गलती करना',atemporal
' सैनिकों को दिया जाने वाला प्रशिक्षण',future
' उच्छिन्न या नष्ट-भ्रष्ट करना',atemporal
' जिसमें जड़ हो',atemporal
' जो मार डाला गया हो',atemporal
' जिसमें जंजीर लगी हो',atemporal
' परमार्थ का ज्ञान कराने वाली विद्या ',atemporal
' चीज़ें, सामान आदि रखने का कमरा',atemporal
' सिक्ख गुरुओं के अवतार या प्रकाश के दिन मनाया जाने वाला उत्सव या पर्व',future
' जिसके अंत में ण अक्षर हो',atemporal
' जिसका जल्दी पहुँचना या जिसके संबंध में जल्दी कार्रवाई होना आवश्यक हो',atemporal
' सूत, तागे आदि में कुछ डालना',atemporal
' तज़िकिस्तान तथा उससे लगे हुए उज़बेकिस्तान, अफ़गानिस्तान तथा चीन में रहनेवाला व्यक्ति',past
' गति में लाना या गतिशील करना',atemporal
' जिस पर आक्रमण या हमला न किया गया हो',atemporal
' जिसमें दुविधा हो या जिससे दुविधा उत्पन्न हो',atemporal
' किसी वस्तु, कार्य या व्यापार आदि पर किसी व्यक्ति, दल या समाज का होनेवाला पूरा-पूरा अधिकार',atemporal
' एक औषध जो तरल होती है और स्पिरिट के योग से बनती है ',neutral
' कोई कार्य हो सकना',atemporal
' फल आदि का पुष्ट होकर खाने योग्य होना',atemporal
' जिसे गढ़ कर कोई आकार दिया गया हो',atemporal
' प्रवाहित होना',atemporal
' बड़ी इंद्रायन',atemporal
' किसी पर दोष आदि (बरबस) लगाना',atemporal
' घाघरे की तरह का एक स्त्री पहनावा ',present
' किसी वस्तु का भार, तौल, नाप, मूल्य आदि',atemporal
' यजमान का निवास-स्थान',atemporal
' अनुवाद करने के योग्य',atemporal
' जहाज पर काम करनेवाला व्यक्ति',atemporal
' उत्तरीअमरीका के निवासी ',atemporal
' सींचने का पात्र या वह पात्र जिससे सींचा जाए ',atemporal
' राजपथ या लंबी सड़कों के किनारे बना वह होटल जहाँ खाने-पीने के साथ लोग थोड़ा विश्राम भी करते हैं',past
' एक प्रकार का कपड़ा जो मोटा और चिकना होता है',neutral
' वैष्णवों के द्वारा कार्तिक शुक्ल प्रतिपदा को मनाया जाने वाला एक उत्सव',future
' बराबर या उचित',atemporal
' तपस्या करनेवाला व्यक्ति',atemporal
' किसी विषय पर गद्य के रूप में लिखकर प्रकट किए हुए विचार जो किसी प्रकाशन का स्वतंत्र हिस्सा होता है',past
' चने की पत्तियों और टहनियों पर की ओस जिसका स्वाद खट्टा होता है तथा जिसे कपड़े में सोखकर निचोड़ लिया जाता है',neutral
' किसी को आश्वस्त करना या आशा दिलाना',atemporal
' मूल कारण',atemporal
' वह स्थान जिसकी सुन्दरता विलक्षण हो या जो आश्चर्य में डाल देनेवाली हो',atemporal
' सरकारी नहरों आदि के जल से सिंचाई करने के बदले में किसानों द्वारा सरकार को दिया जाने वाला शुल्क ',future
' किसी व्यक्ति, बैंक या अन्य संस्था के पास रखी वित्तीय सम्पत्तियों की सूची',atemporal
' चीते की तरह का एक हिंसक पशु',present
' घड़ी के ऊपरी हिस्से में पाए जानेवाले काँटे जैसे पतले वे उपकरण जो समय को सूचित करते हैं',past
' किसी वस्तु, बात आदि को स्वीकार न करने की क्रिया',atemporal
' व्रज के निवासी ',atemporal
' सामान्य धर्म अथवा स्वरूप रखने वाले पदार्थों आदि का समूह',atemporal
' * संभ्रांतों का छोटा समाज',atemporal
' दूर होना',atemporal
' ठठेरे का काम',atemporal
' एशिया का निवासी ',atemporal
' सेवा टहल करना',atemporal
' दूसरों पर अवलंबित रहनेवाली',atemporal
' कपड़े की बुनावट में लम्बाई और चौड़ाई के बल बुने हुए सूत',past
' वह व्यवहार जिसमें किसी को पत्र लिखे जाते हैं तथा उसके उत्तर आते हैं',past
' यम का दूत',atemporal
' पंच का निर्णय',atemporal
' किसी शोध कार्य पर लिखा गया लेखन',atemporal
' फाड़ने में प्रवृत्त करना',atemporal
' अलाउद्दीन का',atemporal
' सात ऋषियों का समूह',atemporal
' भवन बनाने का काम',atemporal
' जिसमें फेन या झाग हो ',atemporal
' एक प्रकार का बगुला जिसकी गरदन और पीठ का भाग बदामी होता है',neutral
' भुने हुए धान, ज्वार, रामदाने आदि के दाने जो फूल या फूट जाते हैं',past
' उठाने अथवा उठाकर रखने की मज़दूरी',atemporal
' अफ्रीका का वह निवासी जो बहुत काला होता है और जिसके बाल कड़े और घुँघराले होते हैं ',neutral
' दक्षिण अमेरिका में पाया जाने वाला एक छोटा बंदर ',future
' फलित ज्योतिष के अनुसार, वैवाहिक गणना के काम के लिए बनाए हुए कल्पित चक्रों में स्थित नक्षत्र',past
' आसन के पीछे की ओर लटकाया जाने वाला परदा',future
' बकरी या भेंड़ का बोलना',atemporal
' भ्रष्ट करने योग्य',atemporal
' गरम करना',atemporal
' नौकर का काम',atemporal
' तपस्या करनेवाला',atemporal
' जमानत करनेवाला व्यक्ति',atemporal
' जो कम वज़न का हो या भारी न हो',atemporal
' जिसकी सीमा अंकित या निर्धारित न की गयी हो',atemporal
' कर्नाटक का मूल या स्थानांतरित निवासी जिसे वहाँ की संस्कृति, धर्म, भाषा आदि विरासत में मिली हुई हो',atemporal
' वह स्थान जहाँ किसी (विशेषकर प्रसिद्ध व्यक्ति) का मृत शरीर या अस्थियाँ आदि गाड़ी गई हों',atemporal
' जिसे दुख या कष्ट पहुँचा हो',atemporal
' अतिथि का आदर या सम्मान',atemporal
' पशुओं की हत्या करने का कसाइयों का छुरा',atemporal
' जो कल्याण करनेवाला न हो',atemporal
' न दिखना ',atemporal
' उच्च स्वर में कोई सूचना आदि देना',atemporal
' जिससे किसी का प्रभाव दूर या नष्ट हो',atemporal
' एक प्रकार का ज्वर जिसमें मांसपेशियों और जोड़ों में दर्द होता है ',neutral
' वह छोटी विधि जो किसी के अधीन हो',atemporal
' वह जो सत्य न हो',atemporal
' किसी पदार्थ का सार या तत्व',atemporal
' जिसके सूत परस्पर बहुत गठे हों या ठस बुनावटवाला',atemporal
' जो संग्रह करने के योग्य हो',atemporal
' किसी काम या रोजगार आदि में साझा रखनेवाला व्यक्ति',atemporal
' जिससे सौंदर्य का बोध हो',atemporal
' किसी के समान आचरण करना',atemporal
' * जिसकी मात्रा, आयतन आदि अनन्त हो',atemporal
' चपेट में लेने को होना या आने को होना या आक्षेप करने को होना',atemporal
' वह जो मंत्रों का पाठ करने में दक्ष हो',atemporal
' चुगली करनेवाला',atemporal
' पैर की कोई अंगुली',atemporal
' जिसमें विचार का अभाव हो',atemporal
' खान में काम करनेवाला मज़दूर',atemporal
' किसी व्यक्ति विशेष को स्मरण कराने के लिए दिया जाने वाला पत्र',future
' वह जो किसी बात अथवा वस्तु का टोह लेता या पता लगाता हो',atemporal
' सभी जगह लागू होने वाला या सब जगह एक जैसे होने वाला',future
' जिसपर विवाद किया जा सके या उठ सके ',atemporal
' समानार्थी या पर्यायवाची शब्दों का समूह',atemporal
' वह जो अर्थशास्त्र का ज्ञाता हो',atemporal
' जिसमें अवरोध न हो या बिना अवरोध का',atemporal
' वह जो उदारवाद का अनुयायी हो',atemporal
' विवाह के समय की वह रस्म जिसमें वर और कन्या पक्ष के लोग आपस में गले मिलते हैं तथा कन्या-पक्ष के लोग वर-पक्ष के लोगों को कुछ धन भेंट करते हैं',past
' जो पढ़ने योग्य न हो',atemporal
' चलायमान करना या किसी प्रकार की या किसी रूप में गति देना',atemporal
' * पूर्ण बनाना या पूरी तरह से ठीक बनाना या कमियों आदि को दूरकर अच्छा बनाना',present
' एक प्रकार का गीत जो मंगल अवसरों पर गाया जाता है या मंगल की कामना से गाया जाता है',neutral
' धर्म का आडम्बर रचकर स्वार्थ साधनेवाला',atemporal
